name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population
6_13_1000_0.00025_2.5e-05_0.5_100,0.16375,1.0,0.5451509933297254,0.3463976489994588,25,25,16,10,7,6,10,10699.018296505705,10699.018296505705,5377.592189581455,2766.289663356942,1714.375339196188,1401.3224732877047,1537.5770790301553,1000,100,1025 
6_15_1000_0.00025_0.0025_0.5_100,0.10794871794871795,0.6360165565428724,0.03310358055009831,0.17593212312804818,52,52,24,7,3,7,10,47075.78548287309,47075.78548287309,10339.343092191777,1742.7783120545503,589.5741413928828,1742.7783120545503,1541.1456178010158,1000,95,1012 
5_17_1000_0.0025_0.00025_0.7_100,0.2366687415707024,0.42504119466803764,0.0987104842873541,0.24423087094280047,49,49,30,19,11,20,29,2493.417450015012,2493.417450015012,1115.7880784156207,571.6376938218862,271.7062980492336,614.6344437376289,516.2079865619172,1000,153,1416 
6_16_1000_0.0025_2.5e-05_0.5_100,0.6201201201201202,0.939152715468505,0.43484048509588147,0.640183064168742,30,30,16,12,10,21,37,1350.6153682090987,1350.6153682090987,512.8349496584284,341.8029891996547,266.43221386607485,766.5365967332277,743.5602492715686,1000,111,1070 
6_15_1000_0.00025_0.0025_0.7_100,0.09887606037491621,0.5620528236449831,0.009366083066266084,0.15492607826912871,54,54,29,16,11,8,8,32655.225035645293,32655.225035645293,11199.406543916703,4682.860105692015,2810.3483781751625,1849.4124047866449,1120.4797719552575,1000,138,1412 
6_14_1000_0.00025_0.00025_0.7_100,0.049413646055437105,0.8601213426175901,0.008531982449849065,0.16488755099892183,38,38,20,9,7,3,3,17679.75259661567,17679.75259661567,6510.791128020039,2175.7029007581045,1570.0842620150033,544.4830561464963,362.79870284788086,1000,134,1415 
6_17_1000_0.0025_0.00025_0.5_100,0.3400000000000001,0.7816192687601355,0.15096359743704138,0.37788742992957647,44,44,28,14,10,18,20,3001.418710560576,3001.418710560576,1291.2742439358678,443.03086890240087,276.6289663356942,640.5447983928786,354.1186645200918,1000,100,1001 
6_17_1000_0.0025_0.00025_0.7_100,0.2230370506686296,0.5712861543818245,0.07696775607783227,0.2533640220369892,46,46,26,16,11,18,28,2490.7322165886517,2490.7322165886517,965.4736879648286,475.2225556323231,284.54739097899085,561.3601305470075,495.6449706680824,1000,133,1403 
6_13_1000_0.00025_2.5e-05_0.7_100,0.1933183183183183,1.0,0.5129670053107453,0.3622678736194346,27,27,18,12,11,6,7,9673.46948684107,9673.46948684107,5369.842330006084,3083.409133837741,2746.3411721995617,1255.7807871024293,958.9584579702454,1000,148,1418 
7_14_1000_0.00025_0.00025_0.5_100,0.0727342549923195,0.7178100080575699,0.01250599276440767,0.1604613786179203,39,39,22,11,8,4,6,25269.32535534078,25269.32535534078,9099.420880758178,3245.0653888585102,2097.431844583396,850.3813064792739,846.3431732505265,1000,93,1014 
