name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population,method
9_13_1000_0.00025_2.5e-05_0.7_100,0.0534420289855072,0.9539688388251396,0.1972807285307284,0.2100968553932352,51,51,27,16,9,4,4,29249.350939248627,29249.350939248627,10030.51230160453,4682.860105692015,2155.9294355060983,770.1141424110231,504.17926923303366,1000,138,1406.0,SINGER
8_13_1000_0.00025_2.5e-05_0.5_100,0.1438636363636363,0.9801652892561984,0.4174767410951618,0.3103508500072495,38,38,23,16,6,6,8,20555.168339355703,20555.168339355703,8857.546377980132,5148.940365140154,1362.5799093903468,1362.5799093903468,1179.010172555604,1000,110,1042.0,SINGER
9_13_1000_0.00025_2.5e-05_0.5_100,0.089454806312769,0.981598194833489,0.2167370742334883,0.2423686547789849,49,49,24,13,7,4,5,37048.23144162963,37048.23144162963,9894.582073010266,3953.205183664564,1703.6831799456504,829.9718940271836,684.6338981531534,1000,102,1016.0,SINGER
8_15_1000_0.00025_0.0025_0.5_100,0.0332581520700332,0.9550285673728665,0.1405299527502135,0.1876144844674852,82,82,12,4,3,3,5,203338.3598025798,203338.3598025798,3546.422111428059,832.0970552419699,580.9512522868395,580.9512522868395,685.9260294927045,1000,101,1004.0,SINGER
10_13_1000_0.00025_2.5e-05_0.5_100,0.1564459930313589,1.0,0.4924259581881532,0.3333760888501742,45,45,18,12,7,4,4,29831.975010746275,29831.975010746275,6252.588702970375,3492.3173444619897,1688.2963462700643,823.7881696938739,527.0140132662715,1000,105,1042.0,SINGER
7_14_1000_0.00025_0.00025_0.5_100,0.0498506571087216,0.7987317342156052,0.4031625936787245,0.2151796091602545,60,60,15,8,6,4,6,73108.90739519229,73108.90739519229,5060.536744833518,2097.431844583396,1432.507848105511,850.3813064792739,846.3431732505265,1000,93,1014.0,SINGER
10_14_1000_0.00025_0.00025_0.7_100,0.0234138124649073,0.9425910578116836,0.1937049644394534,0.1868340720631057,72,72,26,14,10,2,3,61369.848617503565,61369.848617503565,9505.849276650695,3903.982726136131,2482.112415843283,331.93889808196366,362.728243554594,1000,137,1417.0,SINGER
8_14_1000_0.00025_0.00025_0.7_100,0.0541548131295337,0.6941449496465252,0.3595415492783583,0.1959613440294061,78,78,29,13,8,6,7,76091.5839090497,76091.5839090497,11291.089569268435,3537.49808915914,1857.4300849192216,1284.2879697620056,960.796824263732,1000,136,1401.0,SINGER
8_14_1000_0.00025_0.00025_0.5_100,0.0729599104599104,0.7949262351887076,0.3442714254641673,0.2219515864198685,79,79,17,4,2,7,7,145116.79775496072,145116.79775496072,5745.555762529466,823.7881696938739,350.5332441634088,1688.2963462700643,1013.7505139381246,1000,105,1010.0,SINGER
4_15_1000_0.00025_0.0025_0.5_100,0.0434782608695652,0.9208257734912146,0.0620605488572244,0.1778677309609614,80,80,11,3,2,4,6,225861.5658400088,225861.5658400088,3204.55915147123,588.0798756483455,357.3228635878246,843.2424125427566,847.5830556360867,1000,96,1005.0,SINGER
5_15_1000_0.00025_0.0025_0.5_100,0.0620563714735565,0.7561645638334622,0.3327370037904865,0.2067746951750818,73,73,17,7,3,6,8,103584.16095945044,103584.16095945044,5720.002929914834,1683.3317289779277,574.3414058044547,1377.351363039199,1181.77014416186,1000,106,1028.0,SINGER
7_15_1000_0.00025_0.0025_0.5_100,0.056248869596672,0.7855421994054658,0.302996259842376,0.2026549776048467,72,72,15,7,3,5,6,126500.79980901664,126500.79980901664,4962.439082085066,1731.1162329742504,586.6092846402231,1117.2439845904498,847.5830556360867,1000,97,1005.0,SINGER
7_15_1000_0.00025_0.0025_0.7_100,0.0452614359113244,0.587893821311269,0.2663710223693498,0.1598227316900199,96,96,29,9,4,6,6,121959.3618101344,121959.3618101344,10860.51528383112,2119.139517178093,759.9861920095327,1260.2730059271926,803.0825335687044,1000,146,1410.0,SINGER
3_15_1000_0.00025_0.0025_0.5_100,0.0535516012155212,0.7287115951178451,0.1028974854390681,0.1622274829344018,74,74,19,2,1,5,6,148061.22363674155,148061.22363674155,7101.838665761464,357.3228635878246,155.6086238524778,1120.537468596909,846.7548060721481,1000,96,1011.0,SINGER
7_14_1000_0.00025_0.00025_0.7_100,0.0336821451929365,0.8326774120773068,0.3365655064360048,0.1989639394120523,82,82,35,12,5,4,5,83960.87046383946,83960.87046383946,15046.640080396932,3150.048306558456,1014.805840938493,768.799923526017,650.3264145429616,1000,139,1419.0,SINGER
9_14_1000_0.00025_0.00025_0.7_100,0.0371000251952632,0.7640035278142245,0.4027960916138232,0.2009899605508914,77,77,28,19,8,4,6,65322.10822996323,65322.10822996323,10256.554467919656,5811.533386224267,1815.5813690469984,758.779246780161,801.0812211532465,1000,147,1433.0,SINGER
10_14_1000_0.00025_0.00025_0.5_100,0.035600098376783,0.8947559443932397,0.2051526792058043,0.1899063624036047,61,61,26,11,5,3,6,58916.52192619944,58916.52192619944,10931.4419512139,3074.2668843321967,1087.0906926139717,573.0760583514901,847.7217484521294,1000,107,1004.0,SINGER
10_13_1000_0.00025_2.5e-05_0.7_100,0.184931506849315,0.8752557881850432,0.3383248276479541,0.3114891471694702,18,18,12,10,6,2,5,5399.559987198131,5399.559987198131,3097.592975157668,2432.333673302887,1260.2730059271926,327.80516072008686,650.3949313544109,1000,146,1418.0,SINGER
8_14_1000_0.00025_0.00025_0.7_100,0.0541548131295337,0.7008434905493729,0.2815007163659397,0.1852600002279705,79,79,28,13,8,6,7,78745.38460016876,78745.38460016876,10691.627392857976,3537.49808915914,1857.4300849192216,1284.2879697620056,960.796824263732,1000,136,1401.0,SINGER
10_15_1000_0.00025_0.0025_0.5_100,0.0238399621212121,0.8573329076202639,0.1719580322777991,0.1710816144695579,78,78,14,2,1,2,5,194106.8771451513,194106.8771451513,4510.53057024207,357.3228635878246,155.6086238524778,357.3228635878246,685.2773891328243,1000,96,1010.0,SINGER
8_13_1000_0.00025_2.5e-05_0.7_100,0.1447588093208298,0.7582064547918206,0.3472062274185035,0.2671430688561295,47,47,27,17,11,9,12,25124.837052432387,25124.837052432387,10030.51230160453,5097.913176540535,2810.3483781751625,2155.9294355060983,1802.8442979155125,1000,138,1400.0,SINGER
9_13_1000_0.00025_2.5e-05_0.7_100,0.0529338989042064,0.9539688388251396,0.2045183249451542,0.2108268037984885,52,52,28,17,9,4,4,30353.25032308249,30353.25032308249,10606.845747093335,5097.913176540535,2155.9294355060983,770.1141424110231,504.17926923303366,1000,138,1406.0,SINGER
9_13_1000_0.00025_2.5e-05_0.5_100,0.0904725992961287,0.981598194833489,0.2041640572858325,0.2411951573251883,47,47,22,12,6,4,5,33789.96790494542,33789.96790494542,8620.996160123672,3532.521036834695,1393.072563689416,829.9718940271836,684.6338981531534,1000,102,1016.0,SINGER
9_15_1000_0.00025_0.0025_0.7_100,0.0478721639238652,0.4637782706796058,0.3793837147268988,0.1599848125576813,82,82,30,14,8,6,7,77296.1761751227,77296.1761751227,11443.032535728184,3813.9588711800648,1819.1702932771375,1260.2730059271926,958.3166687557712,1000,146,1424.0,SINGER
8_15_1000_0.00025_0.0025_0.7_100,0.0262773722627737,0.9007489922649526,0.2501540696652615,0.1910296198734737,93,93,29,8,3,3,3,127311.6524545277,127311.6524545277,11244.872526371444,1853.3969867813528,541.8372687471125,541.8372687471125,362.5877101261931,1000,137,1421.0,SINGER
