name,analysis_no_of_clusters_score,analysis_infiltration_score,analysis_mrca_score,analysis_total_score,n_d_0,n_d_1,n_d_2,n_d_3,n_d_4,n_s,n_p,Ne_d_0,Ne_d_1,Ne_d_2,Ne_d_3,Ne_d_4,Ne_s,Ne_p,Ne_actual,mut_haplotypes_sample, mut_haplotypes_population
3_13_1000_0.00025_2.5e-05_0.5_100,0.34068627450980393,0.8848577183287714,0.18737396969266185,0.3993151453600777,11,11,9,7,6,5,6,3130.26123968963,3130.26123968963,2380.488120804828,1703.6831799456504,1393.072563689416,1101.569380776885,847.1680962350365,1000,102,1008 
3_13_1000_0.00025_2.5e-05_0.7_100,0.3064285714285714,0.856385135135135,0.095173135815016,0.35723374064252267,9,9,6,5,5,5,5,2146.4013176866183,2146.4013176866183,1274.3551950697897,1012.9738721382093,1012.9738721382093,1012.9738721382093,650.6696380850286,1000,140,1414 
2_17_1000_0.0025_0.00025_0.5_100,0.3713733075435203,0.7529109109480153,0.1609319120044976,0.39703773872334114,38,38,19,11,8,23,33,2372.098188350867,2372.098188350867,718.2668141460788,323.1292708491101,208.9728667589935,971.1659134697713,654.2612669546811,1000,94,1008 
3_14_1000_0.00025_0.00025_0.7_100,0.06983590733590733,0.8399152225996489,0.03561843176531631,0.1802151832898799,48,48,28,20,15,5,5,24667.477675383256,24667.477675383256,10220.487956443038,6233.3354887820915,4170.063588905688,999.0161642865627,651.4304046964561,1000,148,1403 
4_15_1000_0.00025_0.0025_0.7_100,0.037081585081585086,0.7703144977088638,0.000580619472500377,0.1415913771343142,61,61,33,18,11,4,5,38304.94448857142,38304.94448857142,13078.19920165255,5340.879174629473,2734.428714600243,755.231633520166,649.0365851423699,1000,150,1438 
4_13_1000_0.00025_2.5e-05_0.5_100,0.6047619047619048,1.0,0.2287336622794479,0.6076433826752505,15,15,9,5,5,10,11,4788.8661535412394788.866153541239,2356.7039062458143,1092.7486991956732,1092.7486991956732,2717.553331498303,1728.0751037956913,1000,105,1003 
4_15_1000_0.00025_0.0025_0.5_100,0.051266339869281044,0.8657538930976431,0.011342134359412715,0.1674508420270551,58,58,21,8,5,4,6,62004.39168382827,62004.39168382827,8295.386518646754,2074.747816988087,1120.5374685969093,843.2424125427566,847.5830556360867,1000,96,1005 
4_14_1000_0.00025_0.00025_0.5_100,0.11098310291858678,0.744237021274309,0.018258953037835896,0.19206256818983247,29,29,18,9,6,5,5,14457.464400775698,14457.464400775698,6648.949275762329,2459.9914072691804,1432.5078481055107,1130.7632592379448,685.0623235920798,1000,93,1012 
4_13_1000_0.00025_2.5e-05_0.7_100,0.823943661971831,0.73144264902139,0.6658821878143518,0.7863592889056429,7,7,6,5,4,6,7,1544.6160612303695,1544.6160612303695,1269.5563670916083,1009.3702881504582,764.9419725656658,1269.5563670916083,959.603900511957,1000,142,1412 
4_14_1000_0.00025_0.00025_0.7_100,0.07874704491725769,0.7279538420009709,0.024963011719332805,0.1680604595001259,38,38,29,16,13,4,4,17075.277143021216,17075.277143021216,11067.323515537979,4643.468681612694,3492.057784772669,766.2141011985723,503.76723375170803,1000,141,1414 
5_13_1000_0.00025_2.5e-05_0.5_100,0.4054054054054054,0.8006942615129748,0.2805474591843324,0.44597004188837985,6,6,4,4,3,3,4,1359.0242176478198,1359.0242176478198,812.2136336020817,812.2136336020817,568.1884865785433,568.1884865785433,529.3600845982583,1000,111,1012 
5_14_1000_0.00025_0.00025_0.5_100,0.09866522366522366,0.8714837477337477,0.015980516367890454,0.20218529618090228,37,37,20,13,8,5,5,21436.511140663584,21436.511140663584,7558.527640480381,4002.73791819993,2053.276978542905,1110.8200056678322,685.0623235920798,1000,99,1012 
5_15_1000_0.00025_0.0025_0.5_100,0.0635732046219102,0.7484662437492626,0.021631936552750378,0.16001597028063907,66,66,28,10,2,6,8,74744.32696016162,74744.32696016162,12415.422639717424,2708.306100095884,349.8315321277031,1377.351363039199,1181.77014416186,1000,106,1028 
2_17_1000_0.0025_0.00025_0.7_100,0.20403197775460546,0.51087436240063,0.030550625614043658,0.2240361326304249,43,43,24,20,14,16,26,2154.362947531526,2154.362947531526,842.5917810382037,644.6601778901679,390.39827261361313,469.63506305190555,451.5187645846425,1000,137,1426 
5_15_1000_0.00025_0.0025_0.7_100,0.05639705882352941,0.7404065030079229,0.0005419894078855085,0.15062021503884185,66,66,32,15,11,5,8,50541.37812730858,50541.37812730858,13192.776097347016,4305.477756272562,2824.1273899923417,1020.4271822638846,1121.3866945206087,1000,136,1405 
5_13_1000_0.00025_2.5e-05_0.7_100,0.2003968253968254,0.7819787115459259,0.0443478599314956,0.264226763499391,9,9,8,7,7,3,3,2128.015042148303,2128.015042148303,1826.4707568781123,1538.6095533742925,1538.6095533742925,535.9842953817368,362.65791278798565,1000,144,1419 
3_17_1000_0.0025_0.00025_0.7_100,0.21130246913580247,0.7351347990026151,0.09479653770625392,0.2724014289013921,41,41,27,20,15,18,28,1859.9060744718001,1859.9060744718001,960.8171975893182,619.7862170659538,414.9434495035412,534.0879174629473,495.41834247286545,1000,150,1406 
3_16_1000_0.0025_2.5e-05_0.7_100,0.3297872340425532,0.6664652014652015,0.12461200782072852,0.3495126452226768,24,24,16,11,10,15,23,830.7955207076993,830.7955207076993,464.34686816126936,279.032031567162,245.93184120531055,424.64727295574664,389.8936347822781,1000,141,1418 
